Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale
Female,976a0e6392349853387a588194207f3d,Bottoms,90 Degree Long Pants #09,09-05-23,Black,3XL,1,1600,320,1920,Nairobi,Online
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,16-08-22,Black,3XL,1,3000,280,3280,Nairobi,Online
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,16-08-22,Light Blue,3XL,1,3000,280,3280,Nairobi,Online
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,16-08-22,Dark Blue,3XL,1,3000,280,3280,Nairobi,Online
Male,ac39b72e72d4ca3fc634d9c5d6c4ea20,Hoodies,Nike Jacket 2 Layer #07,19-08-21,Camo L/Gray,XL,1,2000,0,2000,Nakuru,Walk In
Female,dd8cb4cf07133e9b6bfcec1d81f48a28,Vests,Nike Women Vest #09,09-05-22,White,XL,1,1600,0,1600,Nakuru,Walk In
Male,f65204ba51806174d0e35fd11b353d8a,Sneakers,FILA Mindblower,12-04-24,Marshmallow,EU 43,1,7000,0,7000,Nakuru,Walk In
Male,f65204ba51806174d0e35fd11b353d8a,Shorts,Nike Men Challenger Shorts #25,12-04-24,Green,L,1,2000,0,2000,Nakuru,Walk In
Male,f65204ba51806174d0e35fd11b353d8a,Shorts,Nike Men Challenger Shorts #25,12-04-24,White,M,1,2000,0,2000,Nakuru,Walk In
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,T Shirts,Nike Dri-fit Tshirts #06 T3,18-10-21,Light Gray,2XL,1,1600,280,1880,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Joggers,Nike Therma Men Joggers #09,09-05-22,Dark Blue,XL,1,3000,350,3350,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,21-11-22,Gray,XL,1,1900,320,2220,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,15-11-22,Gray,XL,-1,1900,320,2220,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,T Shirts,Puma Vent Men Tshirts #11,15-11-22,Gray,XL,1,1700,320,2020,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,15-11-22,Gray,L,1,1900,320,2220,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,15-11-22,Gray,XL,1,1900,320,2220,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Puma Men Flare Shorts #11,15-11-22,Black,XL,1,1700,320,2020,Nairobi,Online
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Hoodies,Nike Cotton Hoodie #09,28-10-22,Brown,3XL,1,2500,280,2780,Nairobi,Online
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,23-07-21,Camo Black,L,1,1600,350,1950,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,23-07-21,Camo L/Gray,L,1,1600,350,1950,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,23-07-21,Pixel Green,L,1,1600,350,1950,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,23-07-21,Pixel Gray,L,1,1600,350,1950,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,Sneakers,Diadora Eagle 2 SL,16-12-23,Black,EU 44,1,7500,400,7900,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,Shorts,Nike Men Safari Shorts #23,22-12-23,Green,2XL,1,2000,400,2400,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,Shorts,Nike Men Safari Shorts #23,22-12-23,Gray,XL,1,2000,400,2400,Mombasa,Online
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Nike Therma Fit Men Tshirts #22,22-12-23,Black,XL,1,2000,400,2400,Mombasa,Online
