Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale,Year,Month_Name,Cluster
Female,976a0e6392349853387a588194207f3d,Bottoms,90 Degree Long Pants #09,2023-05-09,Black,3XL,1,1600,320,1920,Nairobi,Online,2023,May,Cluster 0
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,2022-08-16,Black,3XL,1,3000,280,3280,Nairobi,Online,2022,August,Cluster 0
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,2022-08-16,Light Blue,3XL,1,3000,280,3280,Nairobi,Online,2022,August,Cluster 0
Female,855c477b54aafdefc8babc72a7e2749b,Joggers,Nike Therma Men Joggers #09,2022-08-16,Dark Blue,3XL,1,3000,280,3280,Nairobi,Online,2022,August,Cluster 0
Male,ac39b72e72d4ca3fc634d9c5d6c4ea20,Hoodies,Nike Jacket 2 Layer #07,2021-08-19,Camo L/Gray,XL,1,2000,0,2000,Nakuru,Walk In,2021,August,Cluster 1
Female,dd8cb4cf07133e9b6bfcec1d81f48a28,Vests,Nike Women Vest #09,2022-05-09,White,XL,1,1600,0,1600,Nakuru,Walk In,2022,May,Cluster 1
Male,f65204ba51806174d0e35fd11b353d8a,Shorts,Nike Men Challenger Shorts #25,2024-04-12,Green,L,1,2000,0,2000,Nakuru,Walk In,2024,April,Cluster 0
Male,f65204ba51806174d0e35fd11b353d8a,Shorts,Nike Men Challenger Shorts #25,2024-04-12,White,M,1,2000,0,2000,Nakuru,Walk In,2024,April,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,T Shirts,Nike Dri-fit Tshirts #06 T3,2021-10-18,Light Gray,2XL,1,1600,280,1880,Nairobi,Online,2021,October,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Joggers,Nike Therma Men Joggers #09,2022-05-09,Dark Blue,XL,1,3000,350,3350,Nairobi,Online,2022,May,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,2022-11-21,Gray,XL,1,1900,320,2220,Nairobi,Online,2022,November,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,T Shirts,Puma Vent Men Tshirts #11,2022-11-15,Gray,XL,1,1700,320,2020,Nairobi,Online,2022,November,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,2022-11-15,Gray,L,1,1900,320,2220,Nairobi,Online,2022,November,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Nike Men Running Shorts #15,2022-11-15,Gray,XL,1,1900,320,2220,Nairobi,Online,2022,November,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Shorts,Puma Men Flare Shorts #11,2022-11-15,Black,XL,1,1700,320,2020,Nairobi,Online,2022,November,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,Hoodies,Nike Cotton Hoodie #09,2022-10-28,Brown,3XL,1,2500,280,2780,Nairobi,Online,2022,October,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,2021-07-23,Camo Black,L,1,1600,350,1950,Mombasa,Online,2021,July,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,2021-07-23,Camo L/Gray,L,1,1600,350,1950,Mombasa,Online,2021,July,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,2021-07-23,Pixel Green,L,1,1600,350,1950,Mombasa,Online,2021,July,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Adidas Tshirts Climacool #08,2021-07-23,Pixel Gray,L,1,1600,350,1950,Mombasa,Online,2021,July,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,Shorts,Nike Men Safari Shorts #23,2023-12-22,Green,2XL,1,2000,400,2400,Mombasa,Online,2023,December,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,Shorts,Nike Men Safari Shorts #23,2023-12-22,Gray,XL,1,2000,400,2400,Mombasa,Online,2023,December,Cluster 0
Male,1766b7777bb9cb08196f430163eeea40,T Shirts,Nike Therma Fit Men Tshirts #22,2023-12-22,Black,XL,1,2000,400,2400,Mombasa,Online,2023,December,Cluster 0
Male,3d3a8c70b1dd758d4ba81a08a33cd5b3,T Shirts,Nike Dri-fit Tshirts #06 T3,2021-07-23,Light Gray,XL,1,1600,280,1880,Nairobi,Online,2021,July,Cluster 0
