Customer_ID,Total_Spending,Purchase_Frequency,Recency,CLV,Cluster,Agg_Cluster,DBSCAN_Cluster
0094620e1ebdd335e17cf53bbc69692b,27740,12,289,332880,0,2,0
00bb720496e4ea66963888bf947227f8,6460,2,623,12920,0,2,0
017debf017682242b256806a017e6bde,8090,3,134,24270,0,2,0
01866f5abe89600d59b8e712da5fd5b8,4800,2,270,9600,0,2,0
01d1dfcae85947cb2ed87d2a274e8dd3,7200,4,221,28800,0,2,0
01d9387f9bbc18bbfcc87ecd1b197e1e,7640,4,249,30560,0,2,0
01de90dc75ebcdee72542c477bf91095,5200,4,1400,20800,1,3,0
025e6be16ca429dbc08b4bda7320656f,2800,2,270,5600,0,2,0
029834aa8e03b4a0a78be67e72fcf8ef,1800,1,725,1800,1,2,0
02b8dcdff7af6eb4ca48d0bd4e25f571,8240,4,120,32960,0,2,0
032e140767e1a9cbdd0db3b088108d37,5800,4,1298,23200,1,3,0
0367d05727d9699881cd6d0b746468d2,38050,21,29,799050,3,0,0
03697a1eb496553998ab883e94c79540,31160,19,974,592040,3,0,0
03a805c15d134aa0b98097189e78bfd5,6600,4,1093,26400,1,3,0
0426eb4b13d40c374ad383ab9559f9e4,6050,2,430,12100,0,2,0
04584805b0c666a03b84083b679281ec,36640,21,200,769440,3,0,0
045969abf9d1c460122f82a1eb249b67,5400,3,1032,16200,1,3,0
046d6e8b78366daa9908808f0ee27347,3560,2,826,7120,1,2,0
0495354636935a3fe559e3f098d969ec,156390,103,23,16108170,2,1,-1
04c5b50b57c485299824e20854cf3a5c,1600,1,1145,1600,1,3,0
04da85d9486301500e0785967ad58299,2100,1,179,2100,0,2,0
050327f8e0299aebcdbb7f17693c4291,2220,1,346,2220,0,2,0
051fbee54f2f02bf9fddf688fcc2dc9c,13700,8,1362,109600,1,3,0
05552a4d351e35df651029393c4af789,1580,1,669,1580,0,2,0
05881825aa1f13e8afff989369d0b55a,16720,10,553,167200,0,2,0
